secs,x,y,rear_x,rear_y,reverse,heading,adj,esc,str,m/s,road_sign_label,road_sign_command,arg1,arg2,arg3
8.9,4.55175,11.2176,4.42581,10.9437,0,-294.62,0,1493,1507,1.68067,,,,,
8.921,4.56602,11.2496,4.44042,10.9755,0,-294.62,0,1493,1506,1.7647,,,,,
8.941,4.58063,11.2815,4.45505,11.0073,0,-294.69,0,1495,1506,1.85758,,,,,
8.96,4.59563,11.3131,4.46758,11.0346,0,-294.62,0,1494,1508,1.44057,,,,,
8.981,4.60779,11.3406,4.48114,11.0642,0,-294.62,0,1493,1511,1.72489,,,,,
9.0,4.62134,11.3702,4.49578,11.0961,0,-294.62,0,1491,1512,1.68067,,,,,
9.021,4.63598,11.4021,4.50938,11.1258,0,-294.62,0,1490,1512,1.63865,,,,,
9.041,4.64958,11.4318,4.52192,11.1532,0,-294.5,0,1491,1515,1.59221,,,,,
9.06,4.66148,11.4594,4.5365,11.1852,0,-294.44,0,1494,1517,1.68067,,,,,
9.081,4.67574,11.4916,4.549,11.2127,0,-294.5,0,1493,1517,1.59221,,,,,
9.1,4.68857,11.5189,4.56151,11.2402,0,-294.44,0,1495,1518,1.44057,,,,,
9.121,4.70076,11.5466,4.57402,11.2677,0,-294.44,0,1509,1515,1.5126,,,,,
9.141,4.71326,11.574,4.5865,11.2951,0,-294.38,0,1508,1514,1.59221,,,,,
9.16,4.72543,11.6016,4.60309,11.3317,0,-294.38,0,1555,1508,1.30116,,,,,
9.191,4.74202,11.6382,4.61964,11.3681,0,-294.38,0,1585,1506,1.34453,,,,,
9.221,4.75856,11.6747,4.63204,11.3955,0,-294.38,0,1585,1506,1.5126,,,,,
9.241,4.77097,11.702,4.64858,11.432,0,-294.31,0,1609,1507,1.34453,,,,,
9.271,4.78713,11.7387,4.66506,11.4684,0,-294.31,0,1652,1505,1.3909,,,,,
9.3,4.80361,11.7751,4.68154,11.5049,0,-294.31,0,1665,1507,1.30116,,,,,
9.331,4.82009,11.8116,4.69595,11.5368,0,-294.19,0,1665,1508,1.21703,,,,,
9.36,4.83386,11.8438,4.71239,11.5734,0,-294.12,0,1666,1511,1.30116,,,,,
9.391,4.84992,11.8805,4.72677,11.6054,0,-294.12,0,1665,1512,1.17647,,,,,
9.421,4.8643,11.9126,4.74114,11.6375,0,-294.06,0,1665,1514,1.21703,,,,,
9.45,4.87835,11.9448,4.75344,11.665,0,-294.06,0,1665,1515,1.44057,,,,,
9.471,4.89065,11.9724,4.76779,11.6972,0,-294.06,0,1665,1519,1.21703,,,,,
9.5,4.905,12.0045,4.7842,11.734,0,-294.0,0,1665,1521,1.30116,,,,,
9.531,4.92109,12.0415,4.79958,11.7685,0,-293.94,0,1663,1523,1.30397,,,,,
9.56,4.93615,12.0761,4.81696,11.8077,0,-293.94,0,1661,1521,1.38248,,,,,
9.591,4.95353,12.1153,4.83335,11.8445,0,-293.94,0,1661,1522,1.34453,,,,,
9.621,4.96992,12.1521,4.84768,11.8768,0,-294.0,0,1661,1527,1.21703,,,,,
9.65,4.98457,12.1842,4.86302,11.9112,0,-294.0,0,1661,1524,1.21984,,,,,
9.681,4.9999,12.2187,4.87634,11.9411,0,-294.0,0,1663,1521,1.1301,,,,,
9.71,5.01323,12.2486,4.88864,11.9688,0,-294.0,0,1665,1523,1.44057,,,,,
9.731,5.02553,12.2762,4.90299,12.001,0,-294.0,0,1665,1525,1.21703,,,,,
9.76,5.03988,12.3084,4.91935,12.0378,0,-294.0,0,1664,1526,1.30116,,,,,
9.791,5.05624,12.3452,4.93466,12.0722,0,-293.94,0,1665,1528,1.2605,,,,,
9.821,5.07122,12.3798,4.94994,12.1067,0,-293.88,0,1663,1529,1.30397,,,,,
9.85,5.08618,12.4144,4.96622,12.1435,0,-293.88,0,1663,1525,1.30116,,,,,
9.881,5.10247,12.4512,4.9805,12.1757,0,-293.94,0,1663,1519,1.21703,,,,,
9.91,5.11706,12.4833,4.99681,12.2124,0,-293.94,0,1663,1508,1.2605,,,,,
9.942,5.13337,12.52,5.01102,12.2445,0,-293.88,0,1663,1507,1.21703,,,,,
9.971,5.14726,12.5522,5.02519,12.2765,0,-293.88,0,1663,1500,1.21703,,,,,
10.0,5.16144,12.5842,5.03719,12.3039,0,-293.38,0,1663,1499,1.44057,,,,,
10.021,5.17074,12.6128,5.05105,12.3359,0,-293.38,0,1663,1499,1.21703,,,,,
10.05,5.1846,12.6448,5.06778,12.3748,0,-293.12,0,1663,1503,1.38248,,,,,
10.081,5.19993,12.6844,5.08251,12.4094,0,-292.94,0,1664,1513,1.30397,,,,,
10.11,5.21369,12.7193,5.09819,12.4464,0,-292.94,0,1663,1523,1.2605,,,,,
10.142,5.22937,12.7564,5.11183,12.4789,0,-292.62,0,1662,1533,1.21703,,,,,
10.171,5.24127,12.7895,5.12527,12.5112,0,-292.62,0,1661,1553,1.21703,,,,,
10.2,5.25471,12.8218,5.14041,12.5479,0,-292.31,0,1659,1556,1.30116,,,,,
10.231,5.26817,12.8592,5.15361,12.58,0,-292.38,0,1659,1554,1.21703,,,,,
10.26,5.28175,12.8912,5.16873,12.6168,0,-292.5,0,1661,1553,1.2605,,,,,
10.292,5.29752,12.9277,5.18206,12.6489,0,-292.69,0,1662,1551,1.21703,,,,,
10.321,5.31188,12.9594,5.19552,12.6811,0,-292.81,0,1662,1549,1.21703,,,,,
10.35,5.32599,12.9913,5.21106,12.7178,0,-293.19,0,1662,1549,1.2605,,,,,
10.382,5.34358,13.0271,5.2248,12.7498,0,-293.31,0,1661,1551,1.2605,,,,,
10.41,5.35798,13.0589,5.23862,12.7818,0,-293.56,0,1661,1553,1.10294,,,,,
10.442,5.37314,13.0903,5.25255,12.8137,0,-293.75,0,1661,1557,1.21703,,,,,
10.471,5.38809,13.1217,5.26655,12.8454,0,-293.94,0,1660,1560,1.21703,,,,,
10.5,5.40311,13.153,5.28262,12.8816,0,-294.06,0,1661,1562,1.2605,,,,,
10.532,5.41983,13.1889,5.29575,12.911,0,-294.19,0,1661,1562,1.17046,,,,,
